Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc,Rating
MICR,180,4,2.0,TBA,,TBA,0,5,,21177,In Person,Indiv Studies,2.49
BUS3,160,60,3.0,1800,2045.0,T,118,119,P Wells,29956,In Person,Fund Mgmt & Org Beh,4.3
PHIL,184,1,3.0,TBA,,TBA,0,5,,20452,In Person,Directed Reading,2.49
CMPE,298I,35,1.0,TBA,,TBA,10,25,I Eswar,22016,In Person,CMPE/SE Internship,2.9
SOCI,142,1,3.0,1330,1445.0,MW,28,30,S de Bourbon,24872,In Person,Crit Native Am Std,2.49
CHAD,070,4,3.0,1200,1315.0,MW,30,30,D Izenstark,28800,In Person,Lifespan Devel,4.8
NURS,136,2,2.0,1600,1740.0,R,26,30,S McKenna,22530,In Person,Prof Role Dev III,3.5
AAS,033B,12,3.0,1500,1615.0,TR,35,40,H Nguyen,23814,In Person,AAS History II,2.49
GEOG,001,80,3.0,TBA,,TBA,30,30,G Pereira,24414,Online Only - TBA Mtg Pat,Geog Natural Env,2.49
ASIA,104,80,3.0,TBA,,TBA,13,25,B Mou,29304,Online Only - TBA Mtg Pat,Asian Philosophy,3.1
MATH,030,3,3.0,1500,1615.0,MW,48,50,M Vu,28914,In Person,Calculus I,4.8
MATH,018A,8,3.0,1030,1145.0,TR,32,32,A Bailey,28660,In Person,College Algebra,2.49
CMPE,187,1,3.0,1630,1745.0,MW,76,70,I Eswar,24723,In Person,Soft Quality Engr,2.9
BUS5,140,8,3.0,0730,845.0,TR,45,45,C Lim,25233,In Person,Fund of Oper Mgmt,3.6
RECL,148,1,3.0,1500,1745.0,T,19,35,M Duphily,28305,In Person,BiofdbckPrinciples&Pract,3.0
ENGL,001AS,17,3.0,1330,1445.0,TR,22,22,A Smith,27553,In Person,FYW: Stretch English II,2.49
SOCI,174,1,3.0,1200,1315.0,MW,36,35,C Cox,22242,In Person,Sexualities,4.7
PSYC,298,1,1.0,TBA,,TBA,0,3,,27560,In Person,Special Prob,2.49
RTVF,111,80,3.0,TBA,,TBA,35,35,R Raimist,29878,Online Only - TBA Mtg Pat,Alternative Cinema,2.49
CS,046A,11,0.0,0800,1045.0,F,28,30,Q Yang,24945,In Person,Intro to Progrmng,
HIST,102,1,4.0,1330,1445.0,MW,20,22,J Roth,27867,In Person,Historiography,4.0
NUFS,299,19,1.0,TBA,,TBA,0,10,G Pignotti,28521,In Person,Mas Thesis or Proj,2.49
CE,170,2,0.0,1330,1615.0,M,17,18,U Ndon,22260,In Person,Prin Environ Engr,3.2
OCTH,298,1,1.0,TBA,,TBA,0,60,,27158,In Person,Sup Study OT,2.49
HIST,114,1,4.0,1030,1145.0,MW,25,25,J Roth,27724,In Person,Ancient West,4.0
CS,042,6,3.0,1500,1615.0,TR,1,35,R Low,29512,In Person,Discrete Math,3.0
NUFS,117,2,0.0,1100,1345.0,F,9,16,X Feng,28463,In Person,Food Eval Techniq,
METR,143C,2,3.0,0900,1015.0,TR,0,25,M Saleem,29453,In Person,Num Analy Sci Comp,4.3
ISE,194,1,1.0,1030,1315.0,W,32,50,S Gupta,27174,In Person,Analytics Workshop,2.49
ME,020,5,0.0,1330,1615.0,R,18,25,V Reidling,22879,In Person,Design & Graphics,2.49
CS,146,5,3.0,0730,845.0,MW,65,75,F Mortezaie,25022,In Person,Data Struct & Alg,3.7
AE,180,1,1.0,1800,1850.0,T,0,30,N Mourtos,28047,In Person,Individual Studies,3.2
PKG,180,5,5.0,TBA,,TBA,0,10,F Yambrach,21452,In Person,Individual Studies,4.9
MCOM,070,2,3.0,0900,1015.0,TR,38,70,D Guerrazzi,21110,In Person,Vis Comm Mod Media,4.0
NUFS,111,3,0.0,1330,1615.0,T,20,20,T Engstrom,23144,In Person,Fdserv Prod Mgmt,2.49
KIN,169,3,3.0,1200,1315.0,MW,29,30,M Ruban,28613,In Person,Divrsty/Stress/Hlth,1.5
POLS,102,1,4.0,1630,1745.0,MW,39,40,F Keeley,27973,In Person,State Politics,4.0
NURS,147A,3,2.0,0800,1400.0,W,10,10,N Ugokwe,26644,In Person,Mental Health Clin,2.49
MATH,071,8,3.0,1030,1145.0,TR,39,40,T Nguyen,28674,In Person,Calc Bus/Aviation,4.3
CHEM,100W,1,3.0,0830,945.0,TR,17,20,B Lustig,20437,In Person,Writing Wkshp Chem,3.9
NUFS,299,24,3.0,TBA,,TBA,1,10,A Widaman,28526,In Person,Mas Thesis or Proj,3.3
MUSC,151,1,1.0,1530,1620.0,TR,6,10,C Brown,21702,In Person,ENS: UnivChorales,2.3
BUS5,187,86,3.0,TBA,,TBA,43,45,L Yang,27987,Online - TBA With Few Campus Mtg,Global Dimensn Bus,1.0
NURS,147B,10,3.0,0800,1700.0,W,11,12,C Finkbeiner,20894,In Person,Com Hlth Clin,4.6
EE,122,5,0.0,1630,1915.0,T,18,20,N Iyer,30041,In Person,Electr Design I,2.49
NURS,100W,82,3.0,TBA,,TBA,0,25,C Jones,30487,Online Only - TBA Mtg Pat,Writing Workshop,2.49
COMM,291,3,3.0,TBA,,TBA,1,5,J Morrison,22118,In Person,Grad Internship,4.1
ENGL,001B,9,3.0,1030,1145.0,TR,25,25,S Kirby,23483,In Person,Argument and Analysis,3.9
NURS,147A,6,2.0,0800,1400.0,T,10,10,A Kight,29932,In Person,Mental Health Clin,2.49
ANI,175,1,3.0,0800,1050.0,TR,17,25,R Coelho,28826,In Person,Prof Prac Ent Dsgn,3.9
MATH,261B,1,3.0,1800,1915.0,MW,7,25,S Crunk,22233,In Person,Design Analy Expts,4.0
COMM,169I,80,4.0,TBA,,TBA,25,25,S Hinerman,28275,Online Only - TBA Mtg Pat,Media Respns Crit,3.9
NURS,147B,12,3.0,0800,1700.0,R,12,12,D Canham,20755,In Person,Com Hlth Clin,4.2
CS,152,2,3.0,1500,1615.0,TR,27,30,J Pearce,27397,In Person,Progrmng Paradigms,3.7
DSGD,083,3,3.0,1800,2050.0,MW,26,25,E Briggs,24768,In Person,Digital Apps Basic,3.6
AAS,033B,10,3.0,1330,1445.0,TR,40,40,H Nguyen,23812,In Person,AAS History II,2.49
