Dept,ClassNum,SectionNum,Units,StartTime,EndTime,Days,SeatsTaken,SeatsTotal,Professor,ClassCode,ClassMode,Desc
BUS3,160,80,3,TBA,,TBA,115,120,A Rao,44644,Online - TBA With Few Campus Mtg,Fund Mgmt & Org Beh
PSYC,100W,03,3,1030,1145,MW,24,24,L Cabral,43183,In Person,Writing Workshop
NURS,297,52,1,2030,2120,W,12,24,D Goyal,49945,In Person,Master's Project
PKG,141A,02,0,1330,1515,W,19,20,X Liu,48814,In Person,Pkg Materials I
COMM,184,01,1,TBA,,TBA,0,5,,40951,In Person,Directed Reading
ANI,010,03,3,1800,2050,TR,20,25,I Poslitur,41817,In Person,Light and Optics
NUFS,298,25,1,TBA,,TBA,1,10,A Widaman,48799,In Person,Special Studies
PSYC,190,05,3,0900,1015,TR,22,22,G Feist,48854,In Person,Curr Iss Capstone
BUS1,173A,01,3,1200,1315,TR,52,45,B Campsey Jr,47128,In Person,Fin Mgt Theory Pol
AE,030,05,0,1330,1620,W,25,30,L Lu,49899,In Person,Program. for AEs
INFO,266,02,3,TBA,,TBA,16,35,J Bodart,47458,Online Only - TBA Mtg Pat,Collection Mgmt
BUS2,136,01,3,1800,2045,M,57,45,V Agarwal,43745,In Person,Product Development
CHE,299,01,3,TBA,,TBA,2,25,S Diaz,47071,In Person,Master's Thesis
BIOL,298,09,1,TBA,,TBA,0,15,,48259,In Person,MS Proj Culm Exper
COMM,198,08,2,TBA,,TBA,5,5,S Laczko,42182,In Person,Comm Applied Activity
ASIA,115,80,3,TBA,,TBA,2,40,Q Mccrary,49332,Online Only - TBA Mtg Pat,Global Culture
BUS3,186,10,3,1330,1445,TR,34,60,J Giddings,49363,In Person,Prof & Bus Ethics
ENGL,298,03,3,TBA,,TBA,0,10,R McNabb,42573,In Person,Special Study
EDCO,221,01,3,1600,1845,T,21,20,M Beach,42933,In Person,Research Couns Ed
MUSC,147A,02,0,1230,1320,MW,20,20,D Vickerman,40392,In Person,Begin Conducting
SE,154,02,3,1630,1745,TR,1,30,A Yazdankhah,49518,In Person,Formal Lang & Comput
KIN,158,08,0,1000,1150,T,21,20,L Jin,46442,In Person,Biomechanics
SOCI,180,13,1,TBA,,TBA,0,5,,43901,In Person,Indiv Studies
CHEM,180,06,1,TBA,,TBA,8,10,L Cheruzel,45281,In Person,Indiv Studies
PHIL,110,03,3,1200,1315,TR,44,60,É Brown,43889,In Person,Sci Tech & Hum Val
PHYS,051,02,4,1330,1445,MW,43,45,I Mosqueira,41850,In Person,General Physics
ISE,299,02,2,TBA,,TBA,0,25,,47218,In Person,Masters Thesis
CHEM,001A,15,0,1430,1720,T,24,24,S Cuellar-Ortiz,40108,In Person,General Chem
ENGL,199,01,3,TBA,,TBA,0,6,M Thompson,41815,In Person,Writing Internship
BUS3,189,09,3,0730,0845,TR,27,30,G Mathur,41215,In Person,Strategic Mgmt
NUFS,135,03,3,1500,1745,W,2,30,N Zhang,49669,In Person,Hlth Multiculture
PSYC,139,04,3,1800,2045,T,41,42,B Oliveira,48498,In Person,Psy of Person
ENGL,030,01,3,0900,1015,MW,26,40,D Rivers,48945,In Person,Lit & the Environ
OCTH,286,09,4,1230,1515,R,9,11,G Smith,46514,In Person,Seminar & Pract IB
CHEM,113A,02,2,1430,1720,MW,17,15,J Perumattam,40122,In Person,Organic Chem Lab
LSTP,085A,01,1,1630,1720,M,18,25,R Messina,48161,In Person,Fieldwork in Hum A
PSYC,120,52,0,1800,2000,R,16,24,S Trafalis,48493,In Person,Adv Res Meth & Des
CS,147,01,3,1930,2045,MW,73,75,K Patra,42638,In Person,Comp Architecture
CHEM,180,16,2,TBA,,TBA,1,3,D Eggers,45291,In Person,Indiv Studies
CHEM,180,03,1,TBA,,TBA,11,10,C Simocko,45278,In Person,Indiv Studies
POLS,003,01,3,1200,1315,MW,46,45,A Schendan,44872,In Person,Intro Pol Thought
PSYC,120,31,0,1800,2000,M,22,24,S Trafalis,40980,In Person,Adv Res Meth & Des
ENGR,295A,01,3,1700,1950,F,16,25,A Hambaba,50043,In Person,Master Project I
NUFS,180,03,3,TBA,,TBA,0,10,J Kubota,40983,In Person,Individual Studies
PHYS,020,01,1,1100,1150,M,20,25,G Quan,45387,In Person,Inv to Phys/Astro
INFO,298,03,3,TBA,,TBA,3,20,,42338,Online Only - TBA Mtg Pat,Special Study
SOCI,299,61,6,TBA,,TBA,0,2,,40669,In Person,Masters Thesis
HS,167,02,0,1330,1415,R,24,25,J Pham,42082,In Person,Biostatistics
LLD,100WB,80,3,TBA,,TBA,25,25,E Chiu,41208,Online Only - TBA Mtg Pat,Wrtg Wrkshp Bsns Stdnts
PHIL,186,86,3,TBA,,TBA,22,45,C Sanchez,48013,Online Only - TBA Mtg Pat,Prof & Bus Ethics
KIN,197A,01,1,0730,0820,R,5,12,K Han,40713,In Person,Practicum Ath Trn I
CHE,162,01,2,1630,1720,W,56,90,S Amin,47065,In Person,Engr Stat Analysis
CS,100W,04,3,1030,1145,TR,29,25,D Caires,44126,In Person,Writing Workshop
MUSC,055,02,1,1815,2125,M,2,40,D Vickerman,50328,In Person,ENS: WindEnsemble
BIOL,280,22,3,TBA,,TBA,0,15,,48183,In Person,Individual Studies
EDSE,228A,01,3,1600,1845,W,16,35,C Harris,48321,2 Pat - Mtg Pat & TBA (See Class Note),Collab and Transit
NURS,053,01,0,TBA,,TBA,59,60,J Noel,40957,In Person,Skills in Nursing I
PSYC,260,01,3,1200,1445,W,12,15,A Prins,42821,In Person,Crisis Counseling
SCED,184Z,01,4,TBA,,TBA,5,30,R Kelly,40256,In Person,STDT TCHG III
SCED,005,02,3,1030,1145,TR,7,30,N Bogie,50037,In Person,Hum Dev Nat World
DANC,112,01,2,1530,1750,MTWR,15,20,R Boumaila,42685,In Person,ENS:Dance Reh/Perf
OCTH,233,03,3,1330,1615,W,28,28,G Smith,43490,In Person,Prof Develop II
BIOL,165,01,4,1630,1720,MW,32,30,J McDaniel,47494,In Person,Adv Human Anatomy
RTVF,160,80,3,TBA,,TBA,25,25,S Sublett,48266,Online Only - TBA Mtg Pat,Intro Screenwriting
DANC,051A,01,3,1330,1520,M,38,20,H Cooper,48681,In Person,Dance Production
